Title,Rating,Votes,Duration,Genre
326. Drive Back,4.7, (291),94,action
327. Helldivers II,8.5, (1K),0,action
328. The Last of Us Part II Remastered,9.3, (2K),0,action
329. Cat's Eye,6.1, (308),0,action
330. Let This Grieving Soul Retire!,6.4, (515),99,action
331. 200% Wolf,6.0, (1.3K),98,action
332. Raayan,6.5, (11K),145,action
333. The Heart Killers,8.1, (665),99,action
334. MultiVersus,6.3, (939),0,action
335. Metaphor: ReFantazio,8.4, (353),0,action
336. Eye for an Eye 2,6.5, (488),90,action
337. The Hangman,3.3, (991),92,action
338. 72 Hours,4.1, (282),87,action
339. (Pri)sons,5.1, (259),100,action
340. Golden Kamuy: The Hunt of Prisoners in Hokkaido,7.0, (272),0,action
341. Ferry 2,5.6, (3.7K),94,action
342. Red Swan,6.6, (863),0,action
343. Heart of the Hunter,4.7, (2.1K),105,action
344. The Ballad of Davy Crockett,4.6, (245),96,action
345. Murder at Hollow Creek,4.1, (80),99,action
346. Love Game in Eastern Fantasy,7.4, (698),99,action
347. Escape,6.4, (1.9K),94,action
348. Vettaiyan,7.0, (39K),163,action
349. Zero,6.1, (38),88,action
350. London Calling,7.5, (18),109,action
351. GTMax,5.0, (1.2K),100,action
352. Wünsch mir Glück,8.5, (35),10,action
353. Vedaa,6.0, (4.3K),145,action
354. Mura,7.3, (6.2K),129,action
355. Devil's Knight,5.4, (781),90,action
356. Cesium Fallout,6.7, (410),136,action
357. Kingdom 4: Return of the Great General,7.1, (1.2K),145,action
358. Demon Lord 2099,6.9, (602),99,action
359. STHLM Blackout,6.2, (882),99,action
360. How to Rob a Bank,6.6, (4.1K),88,action
361. Fight Another Day,5.1, (330),97,action
362. Alone in the Dark,6.6, (411),0,action
363. Brigands: The Quest for Gold,5.6, (750),0,action
364. Toofan,7.1, (6.1K),145,action
365. Bagheera,6.7, (7.3K),158,action
366. Thangalaan,6.6, (6.5K),156,action
367. A.R.M,7.1, (8.5K),150,action
368. Sonic X Shadow Generations,8.5, (354),0,action
369. The Lockdown,4.3, (597),117,action
370. Continental Split,3.5, (536),88,action
371. Tales of Wedding Rings,5.5, (658),0,action
372. Don't Mess with Grandma,6.0, (147),81,action
373. Pyramid Game,7.5, (2.2K),99,action
374. Ryan's World the Movie: Titan Universe Adventure,1.8, (656),80,action
375. SCP: The Infinite Mission,5.6, (22),0,action
376. Fate/strange Fake,7.4, (134),99,action
377. Get Fast,3.6, (438),88,action
378. Chandu Champion,7.8, (34K),142,action
379. Guntur Kaaram,5.4, (25K),159,action
380. A Legend,4.7, (863),129,action
381. Like a Dragon: Infinite Wealth,8.7, (405),0,action
382. The Assassins,7.4, (2.9K),0,action
383. Hellhound,4.3, (492),103,action
384. 12 to Midnight,3.6, (277),96,action
